,Unnamed: 0,Address,Lat,Lng,Name,Avgscore
314,314,"2226 Adam Clayton Powell Jr Blvd, New York City, NY 10027-7892",40.813057,-73.9458,Shiloh Baptist Church,8.0
315,315,"Fifth Avenue at 42nd Street, New York City, NY 10018-2788",40.75348,-73.98088,Stephen A. Schwarzman Building,8.0
316,316,"Chase Manhattan Bank Plaza, New York City, NY",40.70732,-74.00959,Jean Dubuffet - Group of Four Trees,7.0
317,317,"102 W 116th St, New York City, NY 10026-2500",40.80206,-73.95019,Masjid Malcolm Shabazz Mosque,7.0
318,318,"371 Sixth Avenue, New York City, NY 10014",40.732613,-74.00054,St. Joseph's Church in Greenwich Village,7.0
319,319,"667 Madison Avenue, At 61st Street, New York City, NY 10065",40.76459000000001,-73.97049,Lady Liberty,8.0
320,320,"61 Henry Street, New York City, NY 10002",40.71308,-73.99494,First Chinese Presbyterian Church of New York City,8.0
321,321,"East 60th Street and FDR Drive, Andrew Haswell Green Park, New York City, NY 10021",40.75907,-73.9586,East River Roundabout,8.0
322,322,"62nd Street, New York City, NY",40.7711,-73.98339,Gapstow Bridge,8.0
323,323,"28th Street and Fifth Avenue, Between Fifth and Sixth Avenues, New York City, NY 10001",40.744686,-73.987305,Tin Pan Alley,8.0
324,324,"103 Street and FDR Drive, New York City, NY 10029",40.785595,-73.94018,Wards Island Pedestrian Bridge,8.0
325,325,"865 Madison Avenue, New York City, NY 10021",40.771164,-73.96557,St. James Episcopal church,8.0
326,326,"West Street, Pier 25, New York City, NY 10013",40.721924,-74.01194,Lilac,8.0
327,327,"329 W 42nd St, New York City, NY 10036-6907",40.75818,-73.99116,Holy Cross Church,8.0
328,328,"122 E 88th St, New York City, NY 10128-1141",40.780846,-73.955124,Immanuel Lutheran Church,8.0
329,329,"61 Gramercy Park N, New York City, NY 10010-5406",40.73893,-73.9868,Calvary-St. George,8.0
330,330,"210 Joralemon St, New York City, NY",40.69199,-73.99039,Brooklyn Municipal Building,8.0
331,331,"331 Riverside Dr, New York City, NY 10025-9114",40.80168,-73.970184,New York Buddhist Church,8.0
332,332,"155 Sullivan St, New York City, NY 10012-3001",40.72718,-74.00123599999998,St. Anthony of Padua,8.0
333,333,"10 Leroy St, Manhattanäó»s Greenwich Village, New York City, NY 10014-3905",40.7308,-74.0032,Cosby House,8.0
334,334,"249 W 132nd St, Harlem, New York City, NY 10027-7896",40.814243,-73.94653000000002,Saint Paul Baptist Church,8.0
335,335,"550 W 155th St, New York City, NY 10032-7899",40.832127,-73.94525,Church of the Intercession,8.0
336,336,"West 122nd at Fifth Avenue, Marcus Garvey Park, New York City, NY 10027",40.79718,-73.94904,Harlem FIre Watchtower,8.0
337,337,"37 W 57th St, 2nd floor, New York City, NY 10019-3411",40.76409,-73.97595,Edward Tyler Nahem Fine Art,8.0
338,338,"19th Street Between 3rd Ave. & Irving Pl, Gramercy Park, New York City, NY 10003",40.73764,-73.98611,Block Beautiful,8.0
339,339,"East 127th Street between Fifth and Madison Avenues., New York City, NY",40.807037,-73.93969,Langston Hughes House,8.0
340,340,"133 Macdougal St, New York City, NY 10012-1076",40.730755,-74.00001,Provincetown Playhouse,8.0
341,341,"1 North End Ave., New York City, NY",40.71452,-74.01685,New York Mercantile Exchange,8.0
342,342,"Near 42nd Street and Fifth Avenue, Behind New York Public Library, New York City, NY 10017",40.753487,-73.98088,William Cullen Bryant Statue,6.0
343,343,"111 Worth St Apt 4G, Foley Square, New York City, NY 10013-4017",40.71434,-74.00261,Triumph of the Human Spirit,6.0
345,345,"110 Park Avenue / 85th St., New York City, NY",40.7513,-73.97859,Park Avenue Christian Church,7.0
346,346,"411 East 66th Street, & 1st Avenue, New York City, NY 10065",40.76381,-73.95809,St. John Nepomucene,6.0
347,347,"242 W 41st St, New York City, NY 10036-7203",40.75603,-73.98937,The Times Center,6.0
349,349,"530 W 22nd St, New York City, NY 10011-1108",40.747402,-74.00614,Sikkema Jenkins Company,6.0
350,350,"60 William St, New York City, NY 10005-1503",40.707016,-74.00872,Our Lady of Victory Church,6.0
351,351,"815 2nd Ave # 7, New York City, NY 10017",40.75085,-73.97183000000003,Episcopal Church Center,6.0
352,352,"171 Riverside Dr, New York City, NY 10024",40.791695,-73.97878,Soldiers' and Sailors Monument New York,6.0
353,353,"64 Mott St, Chinatown, New York City, NY 10013-4811",40.71602,-73.99801,Eastern States Buddhist Temple of America,5.0
354,354,"Seventh Avenue, New York City, NY",40.75321,-73.98902,Mount Neboh Baptist Church,5.0
355,355,"141 W 115th St, New York City, NY 10026-2999",40.8024,-73.95206999999998,Memorial Baptist Church,4.0
356,356,"2605 Frederick Douglass Blvd, New York City, NY 10030-2142",40.81899600000001,-73.945076,Tatiana Pages Gallery,-1998.0
357,357,"18 W 77th St, New York City, NY 10024-5101",40.779675,-73.97439,"Leo Costelli Gallery, new york city, usa",2.0
358,358,"113 Baxter Street / 109 Mulberry Street, New York City, NY 10012",40.71765,-73.99854,Church of The Most Precious Blood,-1998.0
359,359,"60 e 2nd, New York City, NY",40.72461,-73.98895999999998,New York City Marble Cemetery,-1998.0
