,Cleanliness,Comfort,Facilities,Free Wifi,Location,Staff,Value for money,address,avgscore,name,price,total_review,lat,lng
95,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,"31st Road & 21st Street, Queens, NY 11106, United States of America",-999.0,La Belle Idylle - Astoria,-999,-999,40.7666637,-73.9303784
96,7.8,7.9,7.8,8.6,7.8,8.4,7.7,"11-01 43rd Avenue, Queens, NY 10009, United States of America",7.9,Z NYC Hotel,5,112,40.7520234,-73.9474364
97,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,"31st Road & Crescent Street, Queens, NY 11106, United States of America",-999.0,Anderson Minutes to Manhattan,-999,-999,40.7648201,-73.92706919999999
98,8.1,7.6,7.6,8.2,7.6,8.6,7.2,"113-10 Horace Harding Expressway, Queens, NY 11368, United States of America",7.8,Holiday Inn Express LaGuardia Airport,5,89,40.7390987,-73.84855999999999
99,7.9,7.3,7.1,7.2,7.5,7.6,7.1,"256-15 Jericho Turnpike, Queens, NY 11001, United States of America",7.4,Quality Inn Floral Park,3,96,40.7279941,-73.70804059999999
100,8.3,7.9,7.7,7.9,7.8,7.9,8.2,"30-03 40th Avenue, Queens, NY 11101, United States of America",8.0,Quality Inn Long Island City,1,455,40.7520175,-73.9344799
101,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,"39-10 28th Street, Queens, NY 11101, United States of America",-999.0,Garden Chalet,-999,-999,40.7537148,-73.9355909
102,6.6,6.7,6.1,7.1,6.3,6.8,6.3,"164-40 Hillside Avenue, Queens, NY 11432, United States of America",6.5,Ramada Jamaica/Queens,5,304,40.7089725,-73.7972558
103,6.4,5.9,6.0,7.0,6.4,7.2,6.8,"138-46 Northern Blvd, Queens, NY 11354, United States of America",6.5,Flushing YMCA,1,343,40.7639017,-73.82643170000001
104,7.2,7.5,7.5,8.3,8.9,7.8,7.5,"61-35 98th Street, Queens, NY 11374, United States of America",7.7,New York Queens Studio Apartment,-999,9,40.7339964,-73.8603743
105,6.2,6.3,6.2,7.3,6.7,6.5,6.1,"138-05 Jamaica Avenue, Queens, NY 11435, United States of America",6.3,Lexington Inn at JFK Airport,-999,220,40.702503,-73.8151316
106,4.0,4.0,3.8,5.0,4.5,4.5,3.5,"113-18  Rockaway Boulevard, Queens, NY 11420, United States of America",4.1,Econo Lodge South Ozone Park,-999,10,40.6767843,-73.82491510000001
107,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,"38-17 28th Street 1, Queens, NY 11101, United States of America",-999.0,New York Colonial House,-999,-999,40.7545192,-73.9347253
108,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,"22-01 41st Avenue , Queens, 11101, United States of America",-999.0,"The Vue Hotel, an Ascend Hotel Collection Member",-999,-999,40.753552,-73.941082
109,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,"51st Avenue & Jackson Avenue, Queens, NY 11101, United States of America",-999.0,"NYC 3 Bedroom 2 Bathroom Apartment, 5 min to Times Square",-999,-999,40.741941,-73.953879
110,5.6,5.2,5.3,6.7,6.0,6.2,5.5,"34-50 Linden Place, Queens, NY 11354, United States of America",5.6,Flushing Motel,1,183,40.7652136,-73.8312732
111,7.9,7.3,6.4,7.5,8.5,7.4,7.5,"25-42 33RD STREET, Queens, NY 11102, United States of America",7.5,Moblat Apartments-25-42,3,23,40.7687386,-73.9178809
112,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,"29-07 35th Avenue, Queens, NY 11106, United States of America",-999.0,Five Bedroom Home - Astoria,-999,-999,40.758871,-73.929603
113,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,"6512 Ocean Avenue South, Queens, NY 11692, United States of America",-999.0,Arverne By The Sea,1,-999,40.5893701,-73.79386079999999
114,9.2,9.2,9.6,7.5,9.2,9.2,8.8,"169 Beach 62nd Street, Queens, NY 11692, United States of America",9.2,Rockaway Beach House by JFK Airport,-999,6,40.5908109,-73.79129879999999
115,7.1,6.7,6.2,7.6,6.3,6.7,6.2,"136-05 Cranston Street, Queens, NY 11434, United States of America",6.5,Rodeway Inn Near JFK Airport,1,343,40.6680333,-73.7830723
116,9.3,9.3,9.0,10.0,8.5,9.8,9.3,"9727 105 St., Ozone Park, Queens, NY 11416, United States of America",9.2,Adria's Ozone Park Apartment,1,10,40.6875,-73.838336
117,7.9,8.9,8.8,10.0,8.7,8.6,8.5,"98th Street and Horace Harding Expressway, Queens, NY 11374, United States of America",8.5,Studio Apartment - Rego Park,3,13,40.7348003,-73.86080919999999
118,8.2,6.8,7.4,7.0,6.6,8.2,7.1,"62 Road & 136 Street, Queens, NY 11367, United States of America",7.4,AnYi LaGuardia Guesthouse,-999,22,40.7408414,-73.83011809999999
119,7.9,7.3,7.5,8.1,8.2,7.8,7.8,"2909 Queens Plaza North, Queens, NY 11101, United States of America",7.8,Q4 Hotel and Hostel,1,221,40.7499591,-73.937469
